comment,clean_text,mudah digunakan (P1),memenuhi kebutuhan (P3),label_umux,actual_umux_dimension,predicted_umux_label,predicted_umux_dimension,is_prediction_correct,suggested_label,suggested_dimension,audit_reason,audit_note,word_count,matched_general_praise,matched_usefulness,matched_ease,matched_negative_usability,sentiment_category,vader_compound,umux_lite_score_1_7,rating,user,date,likes,label UMUX,label,vader_neg,vader_neu,vader_pos,umux_score_category,is_umux_relevant,review_text_lower,audit_text,has_general_praise,has_usefulness_keyword,has_ease_keyword,has_negative_usability_pattern,is_suggestion_different
jmo...sukses yooo,jmo sukses yooo,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,2,,,,,positive,0.4588,5.38,5.0,Firdausta Sinuhaji,2026-02-26 06:29:10,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,1.0,high,False,jmo...sukses yooo,jmo...sukses yooo jmo sukses yooo,False,False,False,False,False
sangat cepat dan memuaskan untuk klaim,sangat cepat muas klaim,1,1,3,Usefulness + Ease of Use,1,Usefulness,False,1,Usefulness,label_3_only_usefulness_detected,"Label aktual gabungan, tetapi keyword yang terdeteksi lebih dominan usefulness saja.",6,,klaim,,,positive,0.5574,5.67,5.0,ayambakarcocoh mak nyik,2026-02-26 05:50:41,0.0,Relevan dengan P1 dan P3,3,0.0,0.217,0.783,high,True,sangat cepat dan memuaskan untuk klaim,sangat cepat dan memuaskan untuk klaim sangat cepat muas klaim,False,True,False,False,True
👍🏻👍🏻👍🏻,,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,negative,-0.836,1.49,5.0,Romadhan Rupat96,2026-02-26 05:29:40,0.0,Tidak relevan dengan pertanyaan manapun,0,0.354,0.396,0.251,low,False,👍🏻👍🏻👍🏻,👍🏻👍🏻👍🏻 ,False,False,False,False,False
fast respon,fast respon,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,2,,,,,positive,0.7906,6.37,5.0,EKA FITRI,2026-02-26 04:32:51,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.417,0.583,high,False,fast respon,fast respon fast respon,False,False,False,False,False
padahal password udah bener tapi selalu gagal sampe 3 x. jadi tolong perbaiki apknya biar gk selalu Keke gini,padahal password udah bener selalu gagal sampe x jadi baik apknya biar tidak selalu keke gin,1,1,3,Usefulness + Ease of Use,3,Usefulness + Ease of Use,True,2,Ease of Use,label_3_only_ease_detected,"Label aktual gabungan, tetapi keyword yang terdeteksi lebih dominan ease of use saja.",19,baik,,gagal,,positive,0.2732,4.82,1.0,cindy aulia,2026-02-26 04:12:50,0.0,Relevan dengan P1 dan P3,3,0.273,0.401,0.326,moderate,True,padahal password udah bener tapi selalu gagal sampe 3 x. jadi tolong perbaiki apknya biar gk selalu keke gini,padahal password udah bener tapi selalu gagal sampe 3 x. jadi tolong perbaiki apknya biar gk selalu keke gini padahal password udah bener selalu gagal sampe x jadi baik apknya biar tidak selalu keke gin,True,False,True,False,True
"Sangat memuaskan,",sangat muas,0,1,1,Usefulness,1,Usefulness,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,2,,,,,positive,0.7579,6.27,5.0,yusril gopo loop,2026-02-26 04:00:01,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.381,0.619,high,True,"sangat memuaskan,","sangat memuaskan, sangat muas",False,False,False,False,True
mudah digunakan dan sangat membantu,mudah guna sangat bantu,1,0,2,Ease of Use,3,Usefulness + Ease of Use,False,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",5,,"bantu, guna, membantu","gunakan, mudah",,negative,-0.2023,3.39,5.0,Putra Ogie,2026-02-26 03:41:56,0.0,Relevan dengan P1 (mudah digunakan),1,0.393,0.357,0.25,moderate,True,mudah digunakan dan sangat membantu,mudah digunakan dan sangat membantu mudah guna sangat bantu,False,True,True,False,True
terima kasih,terima kasih,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,2,,,,,positive,0.4404,5.32,5.0,Afattah Aja,2026-02-26 03:15:23,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,1.0,high,False,terima kasih,terima kasih terima kasih,False,False,False,False,False
bagua dab sangat berguna,bagua dab sangat guna,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,1,Usefulness,label_0_contains_usefulness_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness atau manfaat aplikasi.",4,,"berguna, guna",,,positive,0.6808,6.04,5.0,Budi Pos juara,2026-02-26 03:07:50,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.152,0.848,high,False,bagua dab sangat berguna,bagua dab sangat berguna bagua dab sangat guna,False,True,False,False,True
pelayanan dan informasinya bagus,layan informasi bagus,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,1,Usefulness,label_0_contains_usefulness_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness atau manfaat aplikasi.",4,bagus,"informasi, layan, layanan",,,positive,0.926,6.78,5.0,khrisna haryawan,2026-02-26 02:58:45,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.216,0.784,high,False,pelayanan dan informasinya bagus,pelayanan dan informasinya bagus layan informasi bagus,True,True,False,False,True
sangat cepat,sangat cepat,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,2,,,,,negative,-0.4767,2.57,5.0,Sinta Maulani,2026-02-26 02:39:51,0.0,Tidak relevan dengan pertanyaan manapun,0,0.398,0.43,0.172,low,False,sangat cepat,sangat cepat sangat cepat,False,False,False,False,False
sangat membantu mempermudah layanan sebagai penerima manfaat pensiun BPJS👍🏼,sangat bantu mudah layan bagai terima manfaat pensiun bpjs,0,1,1,Usefulness,1,Usefulness,True,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",9,,"bantu, bpjs, layan, layanan, manfaat, membantu",mudah,,negative,-0.6705,1.99,5.0,Lilis Rita,2026-02-26 02:35:58,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.277,0.657,0.066,low,True,sangat membantu mempermudah layanan sebagai penerima manfaat pensiun bpjs👍🏼,sangat membantu mempermudah layanan sebagai penerima manfaat pensiun bpjs👍🏼 sangat bantu mudah layan bagai terima manfaat pensiun bpjs,False,True,True,False,True
tidak bisa log in,tidak bisa log in,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",4,,,tidak bisa,,positive,0.1779,4.53,2.0,Amud 2700,2026-02-26 02:12:38,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.787,0.213,moderate,True,tidak bisa log in,tidak bisa log in tidak bisa log in,False,False,True,False,True
mudah dan praktis,mudah praktis,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",3,,,"mudah, praktis",,neutral,0.0,4.0,5.0,Syam Samsu,2026-02-26 02:10:25,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,0.0,moderate,True,mudah dan praktis,mudah dan praktis mudah praktis,False,False,True,False,True
semoga dalam pelayanan yg sudah baik ini dipertahankan,moga layan yg baik tahan,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,1,Usefulness,label_0_contains_usefulness_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness atau manfaat aplikasi.",8,baik,"layan, layanan",,,positive,0.5719,5.72,5.0,Salsabila Herlina Putri,2026-02-26 01:45:21,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.213,0.787,high,False,semoga dalam pelayanan yg sudah baik ini dipertahankan,semoga dalam pelayanan yg sudah baik ini dipertahankan moga layan yg baik tahan,True,True,False,False,True
praktis,praktis,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",1,,,praktis,,positive,0.5719,5.72,5.0,Taufik Rohman,2026-02-26 01:18:20,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,1.0,high,False,praktis,praktis praktis,False,False,True,False,True
saya mendapatkan kemudahan pencairan JHT di aplikasi jmo,mudah cair jht aplikasi jmo,0,1,1,Usefulness,1,Usefulness,True,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",8,,"cair, jht, pencairan",mudah,,positive,0.5423,5.63,5.0,ROFiAH,2026-02-26 00:59:12,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.0,1.0,high,True,saya mendapatkan kemudahan pencairan jht di aplikasi jmo,saya mendapatkan kemudahan pencairan jht di aplikasi jmo mudah cair jht aplikasi jmo,False,True,True,False,True
keren aplikasi nya bisa mantau duit yg selama ini kita punya,keren aplikasi nya bisa mantau duit yg lama punya,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,0,Tidak relevan dengan UMUX-Lite,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",11,keren,,,,neutral,0.0,4.0,5.0,Nur Kahfi Channel,2026-02-26 00:58:15,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,1.0,0.0,moderate,False,keren aplikasi nya bisa mantau duit yg selama ini kita punya,keren aplikasi nya bisa mantau duit yg selama ini kita punya keren aplikasi nya bisa mantau duit yg lama punya,True,False,False,False,True
Gak bisa login,tidak bisa login,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",3,,,"gak bisa, login, tidak bisa",tidak bisa login,neutral,0.0,4.0,3.0,Rio Fani39,2026-02-26 00:23:23,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,0.0,moderate,True,gak bisa login,gak bisa login tidak bisa login,False,False,True,True,True
sangat mudah dan membantu,sangat mudah bantu,0,1,1,Usefulness,3,Usefulness + Ease of Use,False,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",4,,"bantu, membantu",mudah,,negative,-0.4588,2.62,5.0,Deki Tridiansyah,2026-02-26 00:23:17,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.449,0.408,0.143,low,True,sangat mudah dan membantu,sangat mudah dan membantu sangat mudah bantu,False,True,True,False,True
👍💯,,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,positive,0.765,6.29,5.0,Jefan alexsander,2026-02-26 00:13:57,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,1.0,high,False,👍💯,👍💯 ,False,False,False,False,False
mempermudah proses klaim,mudah proses klaim,0,1,1,Usefulness,2,Ease of Use,False,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",3,,klaim,mudah,,positive,0.5267,5.58,5.0,elistiyani nur fadillah,2026-02-26 00:05:38,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.227,0.773,high,True,mempermudah proses klaim,mempermudah proses klaim mudah proses klaim,False,True,True,False,True
"mau login tapi disuruh daftar pilih kepesertaan aneh, maksa daftar kan udah terdaftar aneh!",mau login suruh daftar pilih aneh maksa daftar kan udah daftar aneh,1,0,2,Ease of Use,2,Ease of Use,True,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",14,,peserta,"daftar, login",,positive,0.2732,4.82,1.0,deden 92,2026-02-25 21:03:56,1.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.0,1.0,moderate,True,"mau login tapi disuruh daftar pilih kepesertaan aneh, maksa daftar kan udah terdaftar aneh!","mau login tapi disuruh daftar pilih kepesertaan aneh, maksa daftar kan udah terdaftar aneh! mau login suruh daftar pilih aneh maksa daftar kan udah daftar aneh",False,True,True,False,True
well,well,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,positive,0.5859,5.76,5.0,Lutfi Fauzi,2026-02-25 18:22:11,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,1.0,high,False,well,well well,False,False,False,False,False
sangat bagus dan gampangan,sangat bagus gampang,1,1,3,Usefulness + Ease of Use,3,Usefulness + Ease of Use,True,2,Ease of Use,label_3_only_ease_detected,"Label aktual gabungan, tetapi keyword yang terdeteksi lebih dominan ease of use saja.",4,bagus,,gampang,,positive,0.5859,5.76,5.0,Supri Yono,2026-02-25 18:10:02,0.0,Relevan dengan P1 dan P3,3,0.0,0.0,1.0,high,True,sangat bagus dan gampangan,sangat bagus dan gampangan sangat bagus gampang,True,False,True,False,True
sering blank,sering blank,1,0,2,Ease of Use,2,Ease of Use,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,2,,,,,positive,0.5574,5.67,1.0,Wahyu Tri Mulyo,2026-02-25 16:09:35,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.217,0.783,high,True,sering blank,sering blank sering blank,False,False,False,False,True
Terima kasih sdh melayani kami,terima kasih sdh layan,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,1,Usefulness,label_0_contains_usefulness_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi usefulness atau manfaat aplikasi.",5,,layan,,,positive,0.5267,5.58,5.0,Edisongoha76 Edisongoha76,2026-02-25 14:16:47,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.227,0.773,high,False,terima kasih sdh melayani kami,terima kasih sdh melayani kami terima kasih sdh layan,False,True,False,False,True
puas bangetttt,puas bangetttt,0,1,1,Usefulness,0,Tidak relevan dengan UMUX-Lite,False,0,Tidak relevan dengan UMUX-Lite,label_1_general_praise_only,"Label aktual Usefulness, tetapi komentar tampak hanya pujian umum. Cek apakah lebih tepat menjadi tidak relevan UMUX-Lite.",2,puas,,,,positive,0.4019,5.21,5.0,Terin Shejati,2026-02-25 13:34:20,0.0,Relevan dengan P3 (memenuhi kebutuhan),2,0.0,0.351,0.649,high,False,puas bangetttt,puas bangetttt puas bangetttt,True,False,False,False,True
Alhamdulillah dengan adanya jaminan hari tua kita punya tabungan apabila nanti kita pensiun dari pekerjaan kita,alhamdulillah jamin hari tua punya tabung apabila pensiun kerja,1,1,3,Usefulness + Ease of Use,3,Usefulness + Ease of Use,True,0,Tidak relevan dengan UMUX-Lite,label_3_no_clear_dimension_keyword,"Label aktual gabungan, tetapi tidak terdeteksi keyword usefulness atau ease of use yang jelas.",16,,,,,negative,-0.8658,1.4,5.0,Dayat Hidayat,2026-02-25 13:29:24,0.0,Relevan dengan P1 dan P3,3,0.462,0.399,0.14,low,True,alhamdulillah dengan adanya jaminan hari tua kita punya tabungan apabila nanti kita pensiun dari pekerjaan kita,alhamdulillah dengan adanya jaminan hari tua kita punya tabungan apabila nanti kita pensiun dari pekerjaan kita alhamdulillah jamin hari tua punya tabung apabila pensiun kerja,False,False,False,False,True
kreen,kreen,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,neutral,0.0,4.0,5.0,lainsan wally,2026-02-25 12:35:41,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,0.0,moderate,False,kreen,kreen kreen,False,False,False,False,False
prosesnya vepat,proses vepat,0,0,0,Tidak relevan dengan UMUX-Lite,3,Usefulness + Ease of Use,False,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,2,,,,,positive,0.5574,5.67,5.0,Alesha Syakira Anwar,2026-02-25 12:30:07,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.217,0.783,high,True,prosesnya vepat,prosesnya vepat proses vepat,False,False,False,False,False
🙏👍,,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,positive,0.5859,5.76,5.0,yan dhiz,2026-02-25 12:22:55,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,1.0,high,False,🙏👍,🙏👍 ,False,False,False,False,False
bgus,bgus,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,negative,-0.5719,2.28,5.0,Ahmad,2026-02-25 11:42:02,0.0,Tidak relevan dengan pertanyaan manapun,0,0.326,0.497,0.177,low,False,bgus,bgus bgus,False,False,False,False,False
"Saya peserta, tetapi untuk JMO tidak menggunakan Aplikasi ini, waktu masuk katanya sudah terdaftar, mohon bantuannya",jmo tidak guna aplikasi waktu masuk kata daftar mohon bantu,1,0,2,Ease of Use,2,Ease of Use,True,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",16,,"bantu, guna, peserta","daftar, gunakan, masuk",,positive,0.4588,5.38,1.0,NURDIN NURDIN,2026-02-25 11:35:21,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.4,0.6,high,True,"saya peserta, tetapi untuk jmo tidak menggunakan aplikasi ini, waktu masuk katanya sudah terdaftar, mohon bantuannya","saya peserta, tetapi untuk jmo tidak menggunakan aplikasi ini, waktu masuk katanya sudah terdaftar, mohon bantuannya jmo tidak guna aplikasi waktu masuk kata daftar mohon bantu",False,True,True,False,True
mudah mudahan kedepannya semakin maju dan berkembang lebih baik,mudah mudah depan makin maju kembang lebih baik,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",9,baik,,mudah,,positive,0.6597,5.98,4.0,Ahmad Kurniawan,2026-02-25 09:54:00,0.0,Tidak relevan dengan pertanyaan manapun,0,0.106,0.577,0.317,high,False,mudah mudahan kedepannya semakin maju dan berkembang lebih baik,mudah mudahan kedepannya semakin maju dan berkembang lebih baik mudah mudah depan makin maju kembang lebih baik,True,False,True,False,True
👍👍👍👍👍,,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,positive,0.8271,6.48,5.0,Irwan Syah,2026-02-25 09:32:04,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,1.0,high,False,👍👍👍👍👍,👍👍👍👍👍 ,False,False,False,False,False
trimakasi JMO,trimakasi jmo,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,2,,,,,positive,0.4939,5.48,5.0,Fairuz hafiz Bonde,2026-02-25 08:59:23,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,1.0,high,False,trimakasi jmo,trimakasi jmo trimakasi jmo,False,False,False,False,False
lebih simple,lebih simple,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,2,Ease of Use,label_0_contains_ease_keyword,"Label aktual tidak relevan, tetapi komentar mengandung indikasi ease of use atau masalah penggunaan aplikasi.",2,,,simple,,positive,0.4767,5.43,5.0,GIYARNO Ahmad,2026-02-25 08:34:20,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.244,0.756,high,True,lebih simple,lebih simple lebih simple,False,False,True,False,True
sangat aman,sangat aman,0,0,0,Tidak relevan dengan UMUX-Lite,2,Ease of Use,False,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,2,,,,,positive,0.5267,5.58,4.0,Andrean Syah,2026-02-25 08:29:07,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.227,0.773,high,True,sangat aman,sangat aman sangat aman,False,False,False,False,False
sangat amanay,sangat amanay,0,0,0,Tidak relevan dengan UMUX-Lite,1,Usefulness,False,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,2,,,,,positive,0.5859,5.76,3.0,ASEP LESMANA,2026-02-25 08:03:07,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,1.0,high,True,sangat amanay,sangat amanay sangat amanay,False,False,False,False,False
👍,,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,positive,0.8807,6.64,2.0,Joko Susilo,2026-02-25 07:12:12,0.0,Tidak relevan dengan pertanyaan manapun,0,0.089,0.285,0.626,high,False,👍,👍 ,False,False,False,False,False
mantap jmo mudah lihat saldo update tapi sayangnya gk bisa pinjam dana siaga pdhl saldo lumayan,mantap jmo mudah lihat saldo update sayang tidak bisa pinjam dana siaga pdhl saldo lumayan,1,0,2,Ease of Use,2,Ease of Use,True,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",16,mantap,saldo,"mudah, tidak bisa",,neutral,0.0,4.0,5.0,mas kholik,2026-02-25 07:09:45,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.0,0.0,moderate,True,mantap jmo mudah lihat saldo update tapi sayangnya gk bisa pinjam dana siaga pdhl saldo lumayan,mantap jmo mudah lihat saldo update tapi sayangnya gk bisa pinjam dana siaga pdhl saldo lumayan mantap jmo mudah lihat saldo update sayang tidak bisa pinjam dana siaga pdhl saldo lumayan,True,True,True,False,True
over all bagus cuma kadang error,over all bagus cuma kadang error,1,1,3,Usefulness + Ease of Use,3,Usefulness + Ease of Use,True,2,Ease of Use,label_3_only_ease_detected,"Label aktual gabungan, tetapi keyword yang terdeteksi lebih dominan ease of use saja.",6,bagus,,error,,positive,0.5574,5.67,4.0,Ahmed Zulkifli,2026-02-25 06:42:36,0.0,Relevan dengan P1 dan P3,3,0.0,0.217,0.783,high,True,over all bagus cuma kadang error,over all bagus cuma kadang error over all bagus cuma kadang error,True,False,True,False,True
kren,kren,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,positive,0.4588,5.38,5.0,Mitun 212,2026-02-25 05:54:58,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.25,0.75,high,False,kren,kren kren,False,False,False,False,False
"Terima kasih jmo, aplikasinya mudah digunakan dan aman menggunakan foto biometrik. Proses pengkinian data dan klaimnya juga cepat.Terima kasih!",terima kasih jmo aplikasi mudah guna aman guna foto biometrik proses kini data klaim cepat terima kasih,1,0,2,Ease of Use,2,Ease of Use,True,3,Usefulness + Ease of Use,single_dimension_label_contains_both,"Label aktual hanya satu dimensi, tetapi komentar mengandung indikasi usefulness dan ease of use.",19,,"data, guna, klaim","gunakan, mudah",,neutral,0.0,4.0,5.0,Adisti,2026-02-25 05:50:17,0.0,Relevan dengan P1 (mudah digunakan),1,0.0,0.0,0.0,moderate,True,"terima kasih jmo, aplikasinya mudah digunakan dan aman menggunakan foto biometrik. proses pengkinian data dan klaimnya juga cepat.terima kasih!","terima kasih jmo, aplikasinya mudah digunakan dan aman menggunakan foto biometrik. proses pengkinian data dan klaimnya juga cepat.terima kasih! terima kasih jmo aplikasi mudah guna aman guna foto biometrik proses kini data klaim cepat terima kasih",False,True,True,False,True
👍,,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,neutral,0.0,4.0,5.0,Rendy Muhammad,2026-02-25 05:38:12,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,1.0,0.0,moderate,False,👍,👍 ,False,False,False,False,False
mantaf,mantaf,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,1,,,,,positive,0.4588,5.38,5.0,Efri Efri,2026-02-25 05:34:48,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,0.0,1.0,high,False,mantaf,mantaf mantaf,False,False,False,False,False
fast respon,fast respon,0,0,0,Tidak relevan dengan UMUX-Lite,0,Tidak relevan dengan UMUX-Lite,True,0,Tidak relevan dengan UMUX-Lite,too_short_no_clear_keyword,Komentar sangat pendek dan tidak mengandung keyword UMUX-Lite yang jelas.,2,,,,,neutral,0.0,4.0,5.0,Ragnar,2026-02-25 05:07:22,0.0,Tidak relevan dengan pertanyaan manapun,0,0.0,1.0,0.0,moderate,False,fast respon,fast respon fast respon,False,False,False,False,False
